Year,研究所以上,大專院校,高中職,高中職以下學歷
1998,50.00,50.00,0.00,0.00
1999,0,0,0,0
2000,0,0,0,0
2001,0,0,0,0
2002,50.00,50.00,0.00,0.00
2003,0,0,0,0
2004,0,0,0,0
2005,0,0,0,0
2006,50.00,50.00,0.00,0.00
2007,0,0,0,0
2008,0,0,0,0
2009,0,0,0,0
2010,60.00,40.00,0.00,0.00
