Year,研究所以上,大專院校,高中職,高中職以下學歷
1997,43.48,52.17,4.35,0.00
1998,0,0,0,0
1999,0,0,0,0
2000,0,0,0,0
2001,60.87,30.43,8.70,0.00
2002,0,0,0,0
2003,0,0,0,0
2004,0,0,0,0
2005,47.83,30.43,21.74,0.00
2006,0,0,0,0
2007,0,0,0,0
2008,0,0,0,0
2009,52.94,35.29,11.76,0.00
