Year,研究所以上,大專院校,高中職,高中職以下學歷
1998,2.51,47.02,41.38,9.09
1999,0,0,0,0
2000,0,0,0,0
2001,0,0,0,0
2002,7.21,44.20,39.18,9.40
2003,0,0,0,0
2004,0,0,0,0
2005,6.90,37.62,42.63,12.85
2006,0,0,0,0
2007,0,0,0,0
2008,0,0,0,0
2009,11.06,34.68,40.21,14.04
